Sample_ID2	Latitude	Longitude	bio_01	bio_02	bio_03	bio_04	bio_05	bio_06	bio_07	bio_08	bio_09	bio_10	bio_11	bio_12	bio_13	bio_14	bio_15	bio_16	bio_17	bio_18	bio_19	elev_wc	elev_rgbif
BNE3-N01-1	-27.331011	152.760141	16.66	8.04	43.94	383.87	25.5	7.2	18.3	20.88	12.25	21.02	11.58	1493	209	41	43.68	576	179	557	197	648	684
BNE-CN12	-27.332435	152.771899	16.96	8.21	44.61	384.6	25.8	7.4	18.4	21.18	12.55	21.32	11.87	1491	221	40	44.96	577	170	572	195	571	602
LIS-CN38	-29.629007	152.122324	13.76	10.7	47.56	441.95	24.6	2.1	22.5	18.92	7.98	18.92	7.98	950	135	39	42.41	382	128	382	128	1001	1018
LIS2-CN33	-29.579153	152.193436	13.75	9.79	45.97	432.19	24.1	2.8	21.3	18.78	8.1	18.78	8.1	986	140	40	42.86	395	132	395	132	990	991
COF2-CN18	-30.432838	153.041518	18.72	8.4	46.67	352.13	26.6	8.6	18	22.73	14.77	22.78	14.1	1722	254	45	45.38	660	180	562	237	48	34
COF-CN16	-30.444214	152.680564	17.7	9.49	47.46	390.31	26.8	6.8	20	22	13.43	22.23	12.55	1549	224	36	50.26	645	146	598	181	185	247
COF2-CN41	-30.542163	153.017663	18.9	8.3	47.16	344.23	26.7	9.1	17.6	22.85	14.98	22.87	14.4	1594	231	48	44.4	608	170	522	228	26	40
LAU-CN22	-31.418211	152.212549	15.32	10.65	49.77	404.39	25.8	4.4	21.4	19.9	10.87	20.13	10.1	1454	204	39	46.61	599	160	533	186	558	602
LAU2-CN37	-31.389784	152.058596	13.34	10.16	47.03	426.82	24.2	2.6	21.6	18.17	8.63	18.43	7.85	1351	194	43	41.81	528	167	494	186	921	923
SYD-CX55	-33.726248	150.316209	12.45	9.01	43.52	432.24	23.3	2.6	20.7	17.42	7.75	17.68	6.97	1343	176	58	35.09	514	209	447	223	938	951
SYD-CN46	-33.726248	150.316209	12.45	9.01	43.52	432.24	23.3	2.6	20.7	17.42	7.75	17.68	6.97	1343	176	58	35.09	514	209	447	223	938	951
BAB-CX26	-35.576237	149.739125	12.38	11.67	49.02	441.61	24.4	0.6	23.8	17.6	7.58	17.72	6.8	776	84	41	17.68	231	154	220	174	709	707
BAB2-CN16	-35.6583	150.240768	15.9	7.9	44.89	345.24	24.1	6.5	17.6	18.9	12.1	20.02	11.48	1109	133	48	24.67	348	183	339	220	50	57
BAW-CN02	-37.848766	146.229499	9.93	8.48	42.16	413.36	21.5	1.4	20.1	6.73	15.12	15.12	4.93	1335	147	61	23.58	422	227	227	400	833	708
BAW-CN08	-37.848766	146.229499	9.93	8.48	42.16	413.36	21.5	1.4	20.1	6.73	15.12	15.12	4.93	1335	147	61	23.58	422	227	227	400	833	708
WIL-CN47	-39.018191	146.327029	13.43	6.2	42.18	304.4	21.6	6.9	14.7	9.73	16.98	17.3	9.73	1066	135	38	33.03	369	162	164	369	70	149
WIL2-CN37	-39.020883	146.329747	13.43	6.2	42.18	304.4	21.6	6.9	14.7	9.73	16.98	17.3	9.73	1066	135	38	33.03	369	162	164	369	70	33
WIL-CN69	-39.039672	146.345926	12.03	6.35	42.33	313.47	20.6	5.6	15	8.28	15.7	16.03	8.28	1224	148	47	29.81	412	194	197	412	394	527
CON-N01-1	-26.705448	152.547516	16.52	8.81	45.4	397.48	25.7	6.3	19.4	21.02	12.02	21.02	11.23	1227	221	35	53.33	515	136	515	144	670	698
CON-N10-1	-26.701614	152.550112	16.11	8.46	44.52	396.31	25.2	6.2	19	20.6	11.6	20.6	10.85	1263	224	41	51.44	524	150	524	159	764	726
TAM-N02-1	-27.925641	153.192156	17.43	9.08	48.57	367.49	26.2	7.5	18.7	21.62	13.2	21.62	12.6	1602	236	47	47.54	632	173	632	195	528	517
TAM-N07-2	-27.925641	153.192156	17.43	9.08	48.57	367.49	26.2	7.5	18.7	21.62	13.2	21.62	12.6	1602	236	47	47.54	632	173	632	195	528	517
