ISOLATE_ID	Zone	Path_rating
14DON003	SA/Vic2	1
15CUR001	SA/Vic2	2
15CUR002	SA/Vic2	4
15CUR003	SA/Vic2	1
15DON001	SA/Vic2	0
15DON007	SA/Vic2	3
16CUR015	SA/Vic2	2
16CUR017	SA/Vic2	3
16CUR018	SA/Vic2	4
16CUR019	SA/Vic2	3
16RUP012	SA/Vic1	1
16RUP013	SA/Vic1	1
17CUR007	SA/Vic2	3
AR0002	NSW/Qld1	3
AR0003	NSW/Qld1	4
AR0005	NSW/Qld1	5
AR0007	NSW/Qld1	3
AR0009	NSW/Qld1	5
AR0013	NSW/Qld1	5
AR0015	NSW/Qld1	5
AR0016	NSW/Qld1	5
AR0018	NSW/Qld1	5
AR0020	NSW/Qld1	5
AR0021	NSW/Qld1	3
AR0022	NSW/Qld1	4
AR0023	NSW/Qld1	5
AR0024	NSW/Qld1	4
AR0025	NSW/Qld1	4
AR0026	NSW/Qld1	2
AR0027	NSW/Qld1	5
AR0028	NSW/Qld1	1
AR0029	NSW/Qld1	0
AR0031	.	3
AR0032	NSW/Vic	3
AR0033	NSW/Vic	5
AR0034	NSW/Vic	3
AR0035	NSW/Vic	2
AR0036	NSW/Vic	2
AR0037	NSW/Vic	0
AR0038	NSW/Vic	2
AR0039	NSW/Vic	0
AR0040	NSW/Vic	2
AR0042	NSW/Vic	3
AR0044	NSW/Vic	3
AR0048	NSW/Vic	2
AR0050	NSW/Vic	3
AR0052	NSW/Vic	2
AR0055	NSW/Vic	4
AR0056	NSW/Vic	3
AR0060	NSW/Vic	0
AR0062	NSW/Vic	2
AR0063	NSW/Vic	0
AR0064	WA2	5
AR0065	WA2	5
AR0066	WA2	5
AR0067	WA2	3
AR0068	WA2	4
AR0069	WA2	4
AR0070	WA2	4
AR0071	WA2	4
AR0072	WA2	4
AR0073	WA2	1
AR0074	WA2	3
AR0075	WA2	4
AR0076	WA2	3
AR0078	WA2	3
AR0080	WA2	5
AR0081	WA2	4
AR0083	WA2	4
AR0087	WA2	3
AR0088	NSW/Vic	3
AR0091	NSW/Vic	1
AR0093	NSW/Vic	2
AR0098	NSW/Vic	0
AR0103	NSW/Vic	1
AR0105	NSW/Qld1	1
AR0108	NSW/Qld1	2
AR0112	Qld	0
AR0114	Qld	0
AR0115	Qld	0
AR0116	Qld	0
AR0117	NSW/Qld1	0
AR0119	NSW/Qld1	0
AR0122	NSW/Qld1	5
AR0123	NSW/Qld1	2
AR0127	NSW/Qld1	2
AR0128	NSW/Qld1	5
AR0132	NSW/Qld1	1
AR0133	NSW/Qld1	1
AR0134	NSW/Qld1	1
AR0135	NSW/Qld1	2
AR0150	SA1	3
AR0151	SA1	2
AR0152	SA1	2
AR0153	SA1	1
AR0154	SA1	2
AR0155	SA1	2
AR0156	SA1	3
AR0157	SA1	3
AR0158	SA1	2
AR0159	SA1	0
AR0160	SA1	2
AR0161	SA1	0
AR0162	SA1	2
AR0163	SA1	2
AR0164	SA1	1
AR0165	SA1	1
AR0166	SA1	2
AR0167	SA1	.
AR0168	SA1	1
AR0169	SA1	1
AR0170	SA1	4
AR0175	WA1	2
AR0176	WA1	1
AR0177	WA1	0
AR0178	WA1	0
AR0179	WA1	5
AR0180	WA1	0
AR0181	WA1	0
AR0182	WA1	0
AR0183	WA1	0
AR0184	WA1	0
AR0185	WA1	2
AR0186	WA1	2
AR0187	WA1	1
AR0188	WA1	2
AR0189	WA1	0
AR0190	WA1	2
AR0191	WA1	1
AR0192	WA1	4
AR0193	WA1	2
AR0194	WA1	1
AR0195	WA1	0
AR0196	WA1	0
AR0197	WA1	2
AR0198	WA1	1
AR0199	WA1	0
AR0205	NSW/Qld1	3
AR0206	NSW/Qld1	3
AR0210	NSW/Qld2	5
AR0211	NSW/Qld2	0
AR0212	NSW/Qld2	4
AR0215	NSW/Qld2	1
AR0216	NSW1	2
AR0217	NSW1	3
AR0218	NSW1	2
AR0219	NSW1	0
AR0220	NSW1	1
AR0221	NSW/Qld2	3
AR0222	NSW/Qld2	0
AR0223	NSW/Qld2	3
AR0225	NSW/Qld2	1
AR0226	NSW/Qld2	4
AR0227	NSW/Qld2	3
AR0228	NSW/Qld2	0
AR0230	NSW/Qld2	0
AR0231	NSW/Qld2	5
AR0232	NSW/Qld2	3
AR0235	NSW/Qld2	4
AR0236	NSW/Qld2	3
AR0237	NSW/Qld2	4
AR0240	NSW/Qld2	.
AR0241	NSW/Qld2	1
AR0242	NSW/Qld2	1
AR0246	NSW/Vic	4
AR0247	NSW/Vic	3
AR0248	NSW/Vic	3
AR0251	NSW/Vic	3
AR0256	NSW/Vic	4
AR0257	NSW/Vic	1
AR0261	NSW1	2
AR0262	NSW1	2
AR0263	NSW1	2
AR0264	NSW1	2
AR0265	NSW1	2
AR0266	WA2	3
AR0273	WA2	4
AR0278	NSW/Vic	2
AR0279	NSW/Vic	4
AR0280	NSW/Vic	3
AR0285	NSW/Vic	4
AR0286	NSW/Vic	3
AR0289	NSW/Vic	3
AR0290	NSW/Vic	2
AR0293	SA/Vic1	1
AR0294	SA/Vic1	3
AR0295	SA/Vic1	2
AR0296	SA/Vic1	1
AR0297	SA/Vic1	3
AR0298	SA/Vic1	2
AR0299	SA/Vic2	5
AR0300	SA/Vic1	4
AR0301	SA/Vic1	4
AR0302	SA/Vic2	1
AR0303	SA/Vic2	3
AR0304	SA/Vic1	4
AR0312	WA1	2
AR0313	WA1	2
AR0314	WA1	4
AR0315	WA1	4
AR0316	WA1	2
AR0317	WA1	1
AR0318	WA1	5
AR0319	WA1	2
