ID	clutch	euthanised	days_survived	bd_loads	bc_inital	bc_final	bc_change	sire
Psco_106	3	0	98	0.00	-0.01	-0.03	-0.02	A90355
Psco_107	3	1	66	0.643601135	0.02	-0.10	-0.13	A90355
Psco_109	5	1	50	0.47431674	-0.01	-0.12	-0.11	A80100
Psco_115	3	1	53	0.469772586	0.00	-0.08	-0.08	A90355
Psco_119	3	1	64	0.620490043	-0.07	-0.17	-0.10	A90355
Psco_124	2	1	63	0.663398351	0.04	-0.11	-0.15	B40302
Psco_130	8	0	98	0.00	0.02	-0.04	-0.06	B40180
Psco_134	8	1	53	0.439293686	0.03	-0.08	-0.11	B40180
Psco_143	5	1	60	0.742777382	0.01	-0.11	-0.12	A80100
Psco_147	6	1	56	0.400893302	-0.04	-0.17	-0.12	A80091
Psco_150	5	1	62	0.57037465	-0.05	-0.16	-0.11	A80100
Psco_155	6	0	98	0.00	0.02	0.01	-0.01	A80091
Psco_157	6	0	98	0.304116304	-0.02	-0.06	-0.04	A80091
Psco_164	6	0	98	0.00	-0.01	-0.10	-0.09	A80091
Psco_166	5	1	51	1.03246401	-0.02	-0.13	-0.11	A80100
Psco_167	6	1	91	0.314950936	0.03	-0.13	-0.16	A80091
Psco_171	6	0	98	0.00	0.07	-0.08	-0.15	A80091
Psco_173	2	1	53	0.537522351	0.06	-0.04	-0.10	B40302
Psco_176	5	0	98	0.413218249	-0.02	-0.12	-0.10	A80100
Psco_179	3	0	98	0.00	0.00	-0.07	-0.07	A90355
Psco_180	5	0	98	0.00	0.03	-0.06	-0.10	A80100
Psco_186	5	1	56	0.572017377	-0.02	-0.16	-0.14	A80100
Psco_188	6	1	60	0.718435236	0.02	-0.11	-0.13	A80091
Psco_190	8	1	76	0.54720251	-0.03	-0.12	-0.09	B40180
Psco_192	6	1	56	0.522389522	-0.03	-0.20	-0.18	A80091
Psco_193	2	0	98	0.657612191	-0.02	-0.07	-0.05	B40302
Psco_196	8	0	98	0.00	-0.05	-0.08	-0.04	B40180
Psco_199	8	1	76	0.478610216	-0.03	-0.10	-0.06	B40180
Psco_201	6	1	82	0.550217752	0.05	-0.13	-0.18	A80091
Psco_206	3	1	64	0.746143348	-0.05	-0.15	-0.10	A90355
Psco_210	2	0	98	0.249513218	-0.10	-0.16	-0.07	B40302
Psco_211	6	1	62	0.830684848	0.05	-0.12	-0.17	A80091
Psco_218	5	1	51	0.712144965	-0.04	-0.11	-0.07	A80100
Psco_219	5	1	55	0.397967187	0.04			A80100
Psco_221	5	1	70	0.486150903	0.04	-0.08	-0.12	A80100
Psco_224	3	1	55	0.778515699	-0.01	-0.21	-0.20	A90355
Psco_235	3	1	62	0.808250102	-0.02	-0.12	-0.10	A90355
Psco_243	8	0	98	0.00	0.01	-0.13	-0.14	B40180
Psco_248	8	1	72	0.605758339	0.02	-0.17	-0.19	B40180
Psco_253	2	1	53	0.894891574	-0.02	-0.16	-0.13	B40302
Psco_256	3	0	98	0.00	0.00	-0.07	-0.07	A90355
Psco_270	2	0	98	0.117061707	0.03	-0.02	-0.04	B40302
Psco_293	8	1	76	0.510721352	-0.09	-0.23	-0.14	B40180
Psco_307	8	0	98	0.115235793	-0.02	-0.18	-0.16	B40180
Psco_309	3	1	65	0.608662689	0.03	-0.06	-0.09	A90355
Psco_317	2	0	98	0.00	0.00	-0.07	-0.07	B40302
Psco_326	2	1	62	0.421464955	0.03	-0.15	-0.17	B40302
Psco_343	8	1	76	0.522635007	-0.02	-0.10	-0.08	B40180
Psco_384	2	1	42	0.772948057	-0.02	-0.11	-0.10	B40302
Psco_386	2	1	74	0.670871471	0.04	-0.11	-0.15	B40302
