FISH_ID	POPULATION	REGION	average_annual_temperature	average_min_temperature	average_max_temperature	record_min_temperature	record_max_temperature	average_temperature_range	average_summer_temperature	average_summer_min_temperature	average_summer_max_temperature	average_summer_range	RESTING_RESPR_27	RESTING_RESPR_28.5	RESTING_RESPR_30	RESTING_RESPR_31.5	MAX_RESPR_27	MAX_RESPR_28.5	MAX_RESPR_30	MAX_RESPR_31.5	NAS_27	NAS_28.5	NAS_30	NAS_31.5	TEMPERATURE_REFERENCE_REEF	earliest_data	latest_data	days_obsrvd	depth
CSUD006_S1	Sudbury Reef	Core	26.93378745	26.64675026	27.21606848	21.4159	32.0614	0.569318214	29.25664677	28.94999904	29.58475181	0.634752771	195.16	272.44	248.28	273.6	534.9017	640.6543	682.635081	740.1376	339.7417	368.2143	434.355081	466.5376	Fitzroy Island	1/01/2020	23/02/2023	1142	5
CSUD008_S2	Sudbury Reef	Core	26.93378745	26.64675026	27.21606848	21.4159	32.0614	0.569318214	29.25664677	28.94999904	29.58475181	0.634752771	238.92	242.52	240.64	272.69	NA	NA	NA	844.2647	NA	NA	NA	571.5747	Fitzroy Island	1/01/2020	23/02/2023	1142	5
CSUD010_S3	Sudbury Reef	Core	26.93378745	26.64675026	27.21606848	21.4159	32.0614	0.569318214	29.25664677	28.94999904	29.58475181	0.634752771	201.85	173.18	159.8	209.26	571.6689	537.1633	642.6237094	553.3941	369.8189	363.9833	482.8237094	344.1341	Fitzroy Island	1/01/2020	23/02/2023	1142	5
CSUD014_S4	Sudbury Reef	Core	26.93378745	26.64675026	27.21606848	21.4159	32.0614	0.569318214	29.25664677	28.94999904	29.58475181	0.634752771	100.91	185.47	160.97	193.1	352.7796	451.8176	465.1608268	578.3178	251.8696	266.3476	304.1908268	385.2178	Fitzroy Island	1/01/2020	23/02/2023	1142	5
CSUD018_S5	Sudbury Reef	Core	26.93378745	26.64675026	27.21606848	21.4159	32.0614	0.569318214	29.25664677	28.94999904	29.58475181	0.634752771	171.33	143.43	151.76	181.8	367.4694	524.6155	844.8257533	NA	196.1394	381.1855	693.0657533	NA	Fitzroy Island	1/01/2020	23/02/2023	1142	5
CSUD074_S6	Sudbury Reef	Core	26.93378745	26.64675026	27.21606848	21.4159	32.0614	0.569318214	29.25664677	28.94999904	29.58475181	0.634752771	181.33	261.25	253.93	202.24	585.9447	NA	631.7810163	634.3352	404.6147	NA	377.8510163	432.0952	Fitzroy Island	1/01/2020	23/02/2023	1142	5
CSUD076_S7	Sudbury Reef	Core	26.93378745	26.64675026	27.21606848	21.4159	32.0614	0.569318214	29.25664677	28.94999904	29.58475181	0.634752771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Fitzroy Island	1/01/2020	23/02/2023	1142	5
CSUD079_S8	Sudbury Reef	Core	26.93378745	26.64675026	27.21606848	21.4159	32.0614	0.569318214	29.25664677	28.94999904	29.58475181	0.634752771	257.95	214.8	243.49	275.25	517.3348	422.4441	NA	458.4304	259.3848	207.6441	NA	183.1804	Fitzroy Island	1/01/2020	23/02/2023	1142	5
CSUD085_S9	Sudbury Reef	Core	26.93378745	26.64675026	27.21606848	21.4159	32.0614	0.569318214	29.25664677	28.94999904	29.58475181	0.634752771	167.29	233.74	200.29	252.56	430.9474	477.4143	595.6588653	524.925	263.6574	243.6743	395.3688653	272.365	Fitzroy Island	1/01/2020	23/02/2023	1142	5
CTON061_S10	Tongue Reef	Core	26.94242628	26.61977941	27.25220501	21.3391	31.1003	0.632425602	29.24684907	28.90910437	29.58304754	0.673943169	236.75	250.9	290.8	229.76	531.6452	378.1107	624.3625822	673.137	294.8952	127.2107	333.5625822	443.377	Low Isles	1/01/2020	5/09/2023	2535	6
CTON065_S11	Tongue Reef	Core	26.94242628	26.61977941	27.25220501	21.3391	31.1003	0.632425602	29.24684907	28.90910437	29.58304754	0.673943169	210.53	275.3	269.38	277.88	577.5541	544.5722	597.578999	591.7329	367.0241	269.2722	328.198999	313.8529	Low Isles	1/01/2020	5/09/2023	2535	6
CTON068_S12	Tongue Reef	Core	26.94242628	26.61977941	27.25220501	21.3391	31.1003	0.632425602	29.24684907	28.90910437	29.58304754	0.673943169	137.77	162.65	239.27	235.42	482.6207	644.5755	561.9717	412.3632	344.8507	481.9255	322.7017	176.9432	Low Isles	1/01/2020	5/09/2023	2535	6
CTON069_S13	Tongue Reef	Core	26.94242628	26.61977941	27.25220501	21.3391	31.1003	0.632425602	29.24684907	28.90910437	29.58304754	0.673943169	267.81	187.99	182.45	205.86	406.1807	606.5529	438.2835274	525.985	138.3707	418.5629	255.8335274	320.125	Low Isles	1/01/2020	5/09/2023	2535	6
CTON110_S14	Tongue Reef	Core	26.94242628	26.61977941	27.25220501	21.3391	31.1003	0.632425602	29.24684907	28.90910437	29.58304754	0.673943169	186.32	172.89	161.86	197.7	505.366	612.2526	391.9708869	513.8727	319.046	439.3626	230.1108869	316.1727	Low Isles	1/01/2020	5/09/2023	2535	6
CTONO60_S15	Tongue Reef	Core	26.94242628	26.61977941	27.25220501	21.3391	31.1003	0.632425602	29.24684907	28.90910437	29.58304754	0.673943169	203.18	196.93	166.27	216.44	355.1364	397.4532	471.4372381	502.792	151.9564	200.5232	305.1672381	286.352	Low Isles	1/01/2020	5/09/2023	2535	6
CVLA045_S16	Vlassof Cay	Core	26.85076371	26.61409739	27.10818599	22.0007	30.9941	0.494088599	29.06597982	28.83082119	29.32974415	0.498922958	156.24	117.75	243.2	231.59	658.4479	467.5649	601.98623	613.9039	502.2079	349.8149	358.78623	382.3139	"Green Island, Qld"	1/01/2020	4/09/2023	1342	7
CVLA046_S17	Vlassof Cay	Core	26.85076371	26.61409739	27.10818599	22.0007	30.9941	0.494088599	29.06597982	28.83082119	29.32974415	0.498922958	191.61	213.42	234.06	299.58	516.0955	513.8258	652.9203915	591.1139	324.4855	300.4058	418.8603915	291.5339	"Green Island, Qld"	1/01/2020	4/09/2023	1342	7
CVLA047_S18	Vlassof Cay	Core	26.85076371	26.61409739	27.10818599	22.0007	30.9941	0.494088599	29.06597982	28.83082119	29.32974415	0.498922958	246.02	195.94	260.46	263.39	645.8766	546.6715	565.6850278	683.1568	399.8566	350.7315	305.2250278	419.7668	"Green Island, Qld"	1/01/2020	4/09/2023	1342	7
CVLA053_S19	Vlassof Cay	Core	26.85076371	26.61409739	27.10818599	22.0007	30.9941	0.494088599	29.06597982	28.83082119	29.32974415	0.498922958	151.35	215.46	162.56	215.97	446.9517	568.2338	474.9973093	675.2091	295.6017	352.7738	312.4373093	459.2391	"Green Island, Qld"	1/01/2020	4/09/2023	1342	7
CVLA057_S20	Vlassof Cay	Core	26.85076371	26.61409739	27.10818599	22.0007	30.9941	0.494088599	29.06597982	28.83082119	29.32974415	0.498922958	211.55	203.98	214.51	230.35	439.6865	560.7136	541.7750258	493.7067	228.1365	356.7336	327.2650258	263.3567	"Green Island, Qld"	1/01/2020	4/09/2023	1342	7
CVLA104_S21	Vlassof Cay	Core	26.85076371	26.61409739	27.10818599	22.0007	30.9941	0.494088599	29.06597982	28.83082119	29.32974415	0.498922958	249.57	181.43	168.57	204.74	380.7377	523.4854	498.4163491	454.449	131.1677	342.0554	329.8463491	249.709	"Green Island, Qld"	1/01/2020	4/09/2023	1342	7
LCHA114_S22	Chauvel Reef	Leading	25.81523427	25.41072325	26.14610202	20.8027	30.7457	0.735378763	28.2605594	27.85490156	28.62324961	0.768348047	154.89	225.46	230.9	189.64	514.1416	417.7421	559.2748043	530.4182	359.2516	192.2821	328.3748043	340.7782	Tern Reef	1/01/2020	13/01/2022	744	9
