beta  ances 
0.226 0.368
0.226 0.361
0.216 0.353
0.221 0.348
0.221 0.350
0.221 0.349
0.220 0.350
0.221 0.347
0.221 0.347
0.220 0.348
0.219 0.349
0.219 0.350
0.218 0.351
0.218 0.351
0.219 0.351
0.219 0.350
0.219 0.350
0.219 0.351
0.220 0.351
0.220 0.351
0.221 0.351
0.221 0.351
0.221 0.351
0.221 0.351
0.221 0.351
0.221 0.351
0.221 0.350
0.221 0.351
0.221 0.350
0.221 0.351
0.220 0.350
0.220 0.350
0.220 0.350
0.220 0.350
0.220 0.350
0.220 0.350
0.219 0.350
0.219 0.350
0.220 0.350
0.219 0.350
0.220 0.350
0.219 0.350
0.219 0.350
0.220 0.350
0.219 0.351
0.219 0.351
0.219 0.350
0.219 0.350
0.219 0.350
